dataset,method,batc
Linear,GRAVITY,0.2582
Linear,CellDancer,-0.4184
Linear,scVelo,0.077
Linear,TFvelo,-0.5236
Linear,RegVelo,-0.6618454533031859
Linear,GRAVITY_naive,0.1882
Bifurcating,GRAVITY,0.7059
Bifurcating,CellDancer,0.4524
Bifurcating,scVelo,0.5996
Bifurcating,TFvelo,0.0693
Bifurcating,RegVelo,0.015170752979392504
Bifurcating,GRAVITY_naive,0.6319
Trifurcating,GRAVITY,0.5583
Trifurcating,CellDancer,0.3671
Trifurcating,scVelo,0.4489
Trifurcating,TFvelo,0.4759
Trifurcating,RegVelo,-0.09458755058352472
Trifurcating,GRAVITY_naive,0.51
Quadrifurcating,GRAVITY,0.5873
Quadrifurcating,CellDancer,0.3976
Quadrifurcating,scVelo,0.7729
Quadrifurcating,TFvelo,0.5203
Quadrifurcating,RegVelo,0.4652852935999643
Quadrifurcating,GRAVITY_naive,0.4835
Average,GRAVITY,0.527425
Average,CellDancer,0.199675
Average,scVelo,0.457
Average,TFvelo,0.135475
Average,RegVelo,-0.0689942393
Average,GRAVITY_naive,0.4534
