topology,noise_rate,replicate,batc
Linear,1.0,1,0.3948430324799847
Linear,1.0,2,0.2058786837828237
Linear,1.0,3,0.2430037979934823
Linear,1.0,4,0.2753554883945709
Linear,1.0,5,0.27470960266347844
Linear,1.0,6,0.06843103705313167
Linear,1.0,7,0.33399912546462124
Linear,1.0,8,0.09801359959085888
Linear,1.0,9,0.3756139859628805
Linear,1.0,10,0.3575985888510866
Linear,1.5,1,0.21726769414921734
Linear,1.5,2,0.3529607685474642
Linear,1.5,3,0.34918047841209704
Linear,1.5,4,0.21223614977057173
Linear,1.5,5,0.27770486465649097
Linear,1.5,6,0.5749333168505081
Linear,1.5,7,0.23549251496047593
Linear,1.5,8,0.20764753818923007
Linear,1.5,9,0.49650307621985085
Linear,1.5,10,0.2403583292494305
Linear,2.0,1,0.3497237820949879
Linear,2.0,2,0.36897637522296817
Linear,2.0,3,0.20624853530127338
Linear,2.0,4,0.1841767593458122
Linear,2.0,5,0.4328815135112162
Linear,2.0,6,0.24591338911709884
Linear,2.0,7,0.16200806625434896
Linear,2.0,8,0.20409817311290587
Linear,2.0,9,0.2114120608940239
Linear,2.0,10,0.26112172821223933
Linear,2.5,1,0.16210628664192908
Linear,2.5,2,0.1938026429067606
Linear,2.5,3,0.25610129569478873
Linear,2.5,4,0.16380012880837122
Linear,2.5,5,0.2659674858317185
Linear,2.5,6,0.4841254773930414
Linear,2.5,7,0.2736965103703097
Linear,2.5,8,0.03345931743469024
Linear,2.5,9,0.27456767768093454
Linear,2.5,10,0.2780430823538023
Linear,3.0,1,0.44953727716474856
Linear,3.0,2,0.49882453823215056
Linear,3.0,3,0.24273327850068802
Linear,3.0,4,0.3687842563172166
Linear,3.0,5,0.5307322470085093
Linear,3.0,6,0.3607697130900393
Linear,3.0,7,0.36377425357668147
Linear,3.0,8,0.14127362929794177
Linear,3.0,9,0.37281340114148
Linear,3.0,10,0.14082006567858907
Linear,3.5,1,0.25974617452624915
Linear,3.5,2,0.2297974484487662
