setting,clusterid,gene,mean_score,fraction,x,y
reference_umap2,Ductal,FOXP2,0.9156551043824964,100.0,0,0
reference_umap2,Ductal,NEUROG3,0.0,0.0,1,0
reference_umap2,Ductal,HMGN3,0.0101518737983047,0.0,2,0
reference_umap2,Ductal,PYY,0.0,0.0,3,0
reference_umap2,Ductal,IAPP,0.0,0.0,4,0
reference_umap2,Ductal,CPE,0.0,0.0,5,0
reference_umap2,Ductal,GCG,0.0,0.0,6,0
reference_umap2,Ductal,SLC38A5,0.0,0.0,7,0
reference_umap2,Ductal,PDX1,0.1407299714477662,97.2707423580786,8,0
reference_umap2,Ductal,INS2,0.017363036925965,0.0,9,0
reference_umap2,Ductal,SST,0.0,0.0,10,0
reference_umap2,Ductal,HHEX,0.0,0.0,11,0
reference_umap2,Ductal,GHRL,0.0,0.0,12,0
reference_umap2,Ngn3Low,FOXP2,0.8833027893620399,100.0,0,1
reference_umap2,Ngn3Low,NEUROG3,0.0,0.0,1,1
reference_umap2,Ngn3Low,HMGN3,0.010556237229769,0.0,2,1
reference_umap2,Ngn3Low,PYY,0.0,0.0,3,1
reference_umap2,Ngn3Low,IAPP,0.0,0.0,4,1
reference_umap2,Ngn3Low,CPE,0.0,0.0,5,1
reference_umap2,Ngn3Low,GCG,0.0,0.0,6,1
reference_umap2,Ngn3Low,SLC38A5,0.0,0.0,7,1
reference_umap2,Ngn3Low,PDX1,0.1478606227980035,98.09160305343512,8,1
reference_umap2,Ngn3Low,INS2,0.0167357703965067,0.0,9,1
reference_umap2,Ngn3Low,SST,0.0,0.0,10,1
reference_umap2,Ngn3Low,HHEX,0.0,0.0,11,1
reference_umap2,Ngn3Low,GHRL,0.0,0.0,12,1
reference_umap2,Ngn3High,FOXP2,0.6561048000989347,100.0,0,2
reference_umap2,Ngn3High,NEUROG3,0.0024469736693295,0.3115264797507788,1,2
reference_umap2,Ngn3High,HMGN3,0.0190259811434509,2.959501557632399,2,2
reference_umap2,Ngn3High,PYY,0.0,0.0,3,2
reference_umap2,Ngn3High,IAPP,0.0,0.0,4,2
reference_umap2,Ngn3High,CPE,0.0,0.0,5,2
reference_umap2,Ngn3High,GCG,0.0,0.0,6,2
