setting,cellIndex,embedding1,embedding2,cell_type,raw_pathway_attention_score,mean_pathway_edge_attention,n_pathway_edges
UMAP2,0,6.143066,-0.06364363,Pre-endocrine,0.9083309,0.010440585,87
UMAP2,1,-9.906417,0.19777754,Ductal,0.9822349,0.011290057,87
UMAP2,2,7.559791,0.58376163,Alpha,0.86699605,0.009965472,87
UMAP2,3,-11.283765,4.2189984,Ductal,0.95945877,0.011028262,87
UMAP2,4,1.7215647,-4.7534075,Ngn3 high EP,1.0031915,0.011530937,87
UMAP2,5,-10.936558,0.7738829,Ductal,0.97294414,0.011183266,87
UMAP2,6,6.77662,3.7410977,Alpha,0.7478798,0.00859632,87
UMAP2,7,-12.126013,1.7461848,Ductal,0.96499705,0.011091921,87
UMAP2,8,-10.632554,6.0370817,Ductal,1.0315237,0.011856594,87
UMAP2,9,-9.427508,0.89788103,Ductal,0.9742604,0.011198395,87
UMAP2,10,9.560197,-1.0534916,Delta,0.76717854,0.008818144,87
UMAP2,11,-11.894205,3.6242454,Ductal,0.99195874,0.011401825,87
UMAP2,12,4.693863,1.3343334,Beta,0.9525298,0.010948618,87
UMAP2,13,-10.719007,5.060998,Ductal,1.0526057,0.012098917,87
UMAP2,14,-11.215404,0.6751544,Ductal,0.9626354,0.011064774,87
UMAP2,15,-8.569838,-0.17490867,Ductal,0.9967799,0.01145724,87
UMAP2,16,3.280925,5.031543,Beta,4.6706953,0.053686153,87
UMAP2,17,8.28469,5.2083616,Alpha,0.7818603,0.0089869,87
UMAP2,18,-2.2122872,-2.038088,Ngn3 high EP,1.1497493,0.013215509,87
UMAP2,19,-3.6094487,-4.16496,Ngn3 high EP,1.0491917,0.012059675,87
UMAP2,20,-8.909535,0.37737897,Ngn3 low EP,0.9974932,0.01146544,87
UMAP2,21,3.5693967,0.03259685,Pre-endocrine,0.8982637,0.01032487,87
UMAP2,22,4.4251614,3.1630082,Beta,0.949932,0.010918759,87
UMAP2,23,6.319591,-1.5163502,Pre-endocrine,0.8243634,0.009475442,87
UMAP2,24,6.654441,1.6738739,Alpha,0.8111514,0.009323579,87
UMAP2,25,7.159107,1.6885645,Alpha,0.8181686,0.009404236,87
UMAP2,26,3.1209917,4.762562,Beta,4.562416,0.052441563,87
UMAP2,27,3.0020232,4.7021656,Beta,4.968799,0.057112634,87
UMAP2,28,-10.667444,-0.32679078,Ngn3 low EP,0.9721726,0.011174398,87
UMAP2,29,1.8618637,5.9189177,Beta,5.6463757,0.06490087,87
UMAP2,30,-11.509517,5.4464297,Ductal,0.99220717,0.01140468,87
UMAP2,31,-11.218836,-1.0843626,Ductal,0.9807198,0.011272642,87
UMAP2,32,8.002446,2.3274739,Alpha,0.7605431,0.008741875,87
UMAP2,33,5.79169,-1.0305629,Pre-endocrine,0.85513467,0.009829134,87
UMAP2,34,4.4625125,-4.057958,Pre-endocrine,0.8719137,0.010021997,87
UMAP2,35,-9.445645,2.2992373,Ductal,0.9718271,0.011170426,87
UMAP2,36,-9.852467,4.860494,Ductal,1.1141157,0.012805928,87
UMAP2,37,5.51126,0.93228024,Beta,0.9092765,0.010451454,87
UMAP2,38,4.6758804,0.84089965,Delta,0.88658035,0.010190579,87
UMAP2,39,6.6280966,1.5069003,Alpha,0.84896374,0.009758204,87
UMAP2,40,2.1794276,6.232158,Beta,5.568077,0.06400089,87
UMAP2,41,-11.909684,4.7213106,Ductal,0.9684175,0.011131236,87
UMAP2,42,8.1335945,3.927814,Alpha,0.7326826,0.008421639,87
UMAP2,43,2.5234935,5.7503653,Beta,6.153144,0.07072579,87
UMAP2,44,2.3779438,5.0204988,Beta,6.172076,0.07094341,87
UMAP2,45,8.305771,4.1690755,Alpha,0.74107873,0.008518146,87
UMAP2,46,-4.846345,-3.1631942,Ngn3 high EP,1.0117054,0.011628797,87
UMAP2,47,-0.5807117,-4.0239515,Ngn3 high EP,0.9969677,0.011459398,87
UMAP2,48,1.496808,-3.991346,Ngn3 high EP,0.95378435,0.010963039,87
UMAP2,49,7.570063,3.3770149,Alpha,0.72446764,0.008327214,87
UMAP2,50,3.8384395,0.42988414,Pre-endocrine,0.889331,0.010222196,87
UMAP2,51,6.629303,2.9662538,Alpha,0.78863776,0.009064802,87
UMAP2,52,7.5601845,4.17288,Alpha,0.771378,0.0088664135,87
UMAP2,53,-11.349223,5.678881,Ductal,0.98308134,0.011299785,87
UMAP2,54,-1.1936877,-3.7616882,Ngn3 high EP,0.99580204,0.011446,87
UMAP2,55,5.3650627,-3.0849836,Pre-endocrine,0.9133415,0.010498178,87
UMAP2,56,7.546737,4.0811286,Alpha,0.7512175,0.008634684,87
UMAP2,57,-4.320397,-3.6954503,Ngn3 high EP,1.0519183,0.0120910145,87
UMAP2,58,0.09243224,-3.8010116,Ngn3 high EP,0.9808409,0.011274033,87
UMAP2,59,1.975073,-4.02992,Ngn3 high EP,0.94103664,0.010816514,87
UMAP2,60,-8.5062685,3.9896288,Ngn3 low EP,1.1125013,0.012787371,87
UMAP2,61,2.476689,-4.1314106,Ngn3 high EP,0.90781236,0.010434625,87
UMAP2,62,-4.754584,-3.0777972,Ngn3 high EP,1.0302619,0.011842091,87
UMAP2,63,3.4371498,2.6033788,Epsilon,0.78955853,0.0090753855,87
UMAP2,64,-4.2721395,-3.435313,Ngn3 high EP,1.0402153,0.011956497,87
UMAP2,65,1.9274687,5.7674994,Beta,5.682263,0.06531337,87
UMAP2,66,6.1857824,-1.9117875,Pre-endocrine,0.8581526,0.009863824,87
UMAP2,67,-0.79702216,-4.941495,Ngn3 high EP,0.9896666,0.011375478,87
UMAP2,68,6.1596775,-2.6213596,Pre-endocrine,0.8813509,0.01013047,87
UMAP2,69,-0.3789697,-5.2596617,Ngn3 high EP,0.968108,0.011127678,87
UMAP2,70,-3.7240732,-3.8476381,Ngn3 high EP,1.0353426,0.011900489,87
UMAP2,71,4.5485315,3.1380405,Beta,1.2676604,0.014570809,87
UMAP2,72,-3.5543253,-4.315498,Ngn3 high EP,1.0123386,0.0116360765,87
UMAP2,73,2.663227,5.2265043,Beta,6.5525904,0.07531713,87
UMAP2,74,5.8947663,1.3489676,Beta,0.8088946,0.009297639,87
UMAP2,75,7.779183,3.4933803,Alpha,0.7513817,0.0086365715,87
UMAP2,76,6.3117266,2.5173495,Alpha,0.75826967,0.008715743,87
UMAP2,77,-12.134493,2.6418145,Ductal,0.975643,0.011214287,87
UMAP2,78,4.2139473,0.87867403,Pre-endocrine,0.8013595,0.009211028,87
UMAP2,79,7.919234,5.3213305,Alpha,0.7201237,0.008277284,87
UMAP2,80,-9.277945,5.4018846,Ductal,1.1876917,0.013651629,87
UMAP2,81,6.304165,4.044516,Alpha,0.7669699,0.008815746,87
UMAP2,82,-10.6074095,0.07127509,Ductal,0.97416407,0.0111972885,87
UMAP2,83,6.0370474,-1.7489895,Pre-endocrine,0.9050707,0.010403112,87
UMAP2,84,4.579713,1.0014968,Beta,0.88848007,0.010212415,87
UMAP2,85,-7.7785473,-1.1465534,Ngn3 low EP,1.0012256,0.01150834,87
UMAP2,86,8.025878,4.690022,Alpha,0.7590662,0.008724899,87
UMAP2,87,2.3430178,6.5196714,Beta,5.88796,0.0676777,87
UMAP2,88,-5.4848437,-2.8574429,Ngn3 high EP,1.0022755,0.011520408,87
UMAP2,89,-11.013531,-0.6728261,Ductal,0.97383326,0.011193486,87
UMAP2,90,3.8064725,4.323861,Beta,2.8261006,0.032483913,87
UMAP2,91,-5.035715,-3.5273523,Ngn3 high EP,1.0145829,0.011661872,87
UMAP2,92,-11.570084,4.6332374,Ductal,0.9551116,0.010978295,87
UMAP2,93,-10.594983,6.1573443,Ductal,1.0810164,0.012425476,87
UMAP2,94,3.1369705,-3.7435684,Pre-endocrine,0.8871292,0.010196887,87
UMAP2,95,8.165062,5.123174,Alpha,0.7442995,0.008555166,87
UMAP2,96,-7.95078,-1.7666882,Ngn3 low EP,0.9922079,0.0114046885,87
UMAP2,97,-0.44779184,-4.057664,Ngn3 high EP,0.9896301,0.011375058,87
UMAP2,98,-12.090604,3.9986148,Ductal,0.98906726,0.0113685895,87
UMAP2,99,-1.8059943,-4.994431,Ngn3 high EP,0.99237156,0.01140657,87
UMAP2,100,4.1258698,0.65790063,Pre-endocrine,0.8365127,0.009615088,87
UMAP2,101,2.3830097,5.3754697,Beta,5.6526027,0.064972445,87
UMAP2,102,7.110726,1.1133856,Alpha,0.7934503,0.009120119,87
UMAP2,103,-9.363262,0.32207733,Ngn3 low EP,0.99488556,0.011435466,87
UMAP2,104,-10.495506,-1.2921832,Ductal,0.9898189,0.011377228,87
UMAP2,105,-10.367674,1.2070645,Ductal,0.9488871,0.0109067485,87
UMAP2,106,5.4034476,2.2823207,Beta,0.86485696,0.009940885,87
UMAP2,107,1.4744543,-1.336417,Pre-endocrine,0.91793406,0.0105509665,87
UMAP2,108,-10.846176,-1.008293,Ductal,0.9827427,0.011295893,87
UMAP2,109,7.2306137,4.5599537,Alpha,0.77827156,0.00894565,87
UMAP2,110,4.3299494,0.016993912,Pre-endocrine,0.9004509,0.01035001,87
UMAP2,111,5.2444687,1.0347878,Beta,0.86651075,0.009959893,87
UMAP2,112,-7.720163,-1.6348033,Ngn3 low EP,0.99560916,0.0114437835,87
UMAP2,113,-12.41564,3.335895,Ductal,0.97279406,0.011181541,87
UMAP2,114,8.525829,-1.0844926,Delta,0.74199057,0.008528627,87
UMAP2,115,5.3779593,-2.249274,Pre-endocrine,0.9986395,0.011478615,87
UMAP2,116,-11.047429,6.037519,Ductal,1.0011517,0.011507491,87
UMAP2,117,-10.719046,-1.2876067,Ductal,0.98916996,0.011369769,87
UMAP2,118,1.9706423,-4.608252,Ngn3 high EP,0.92609453,0.010644765,87
UMAP2,119,-8.37968,2.4396873,Ngn3 low EP,1.0009091,0.011504702,87
UMAP2,120,3.4800649,2.4080207,Epsilon,0.8043395,0.009245282,87
UMAP2,121,-11.588832,-0.73962325,Ductal,0.9818697,0.011285858,87
UMAP2,122,-10.684874,-0.07954098,Ductal,0.97849125,0.011247026,87
UMAP2,123,3.4157054,-3.683029,Pre-endocrine,0.9078189,0.0104347,87
UMAP2,124,6.1202593,1.4535599,Beta,0.83680964,0.009618501,87
UMAP2,125,-5.010132,-2.822764,Ngn3 high EP,1.0160475,0.011678707,87
UMAP2,126,-10.362076,-0.5544115,Ductal,0.9787636,0.011250156,87
UMAP2,127,-9.791051,-1.155077,Ngn3 low EP,0.9958069,0.011446056,87
UMAP2,128,-10.12584,3.2204719,Ductal,0.97485334,0.01120521,87
UMAP2,129,6.346333,1.9683311,Alpha,0.76055974,0.008742066,87
UMAP2,130,4.6885996,0.7533395,Beta,0.95821416,0.011013956,87
UMAP2,131,7.021126,4.6734366,Alpha,0.74813974,0.008599307,87
UMAP2,132,0.088717766,-4.05758,Ngn3 high EP,0.997659,0.011467345,87
UMAP2,133,7.8193364,1.2517631,Alpha,0.84977597,0.00976754,87
