cellIndex,embedding1,embedding2,cell_type
0,6.143066,-0.06364363,Pre-endocrine
1,-9.906417,0.19777754,Ductal
2,7.559791,0.58376163,Alpha
3,-11.283765,4.2189984,Ductal
4,1.7215647,-4.7534075,Ngn3 high EP
5,-10.936558,0.7738829,Ductal
6,6.77662,3.7410977,Alpha
7,-12.126013,1.7461848,Ductal
8,-10.632554,6.0370817,Ductal
9,-9.427508,0.89788103,Ductal
10,9.560197,-1.0534916,Delta
11,-11.894205,3.6242454,Ductal
12,4.693863,1.3343334,Beta
13,-10.719007,5.060998,Ductal
14,-11.215404,0.6751544,Ductal
15,-8.569838,-0.17490867,Ductal
16,3.280925,5.031543,Beta
17,8.28469,5.2083616,Alpha
18,-2.2122872,-2.038088,Ngn3 high EP
19,-3.6094487,-4.16496,Ngn3 high EP
20,-8.909535,0.37737897,Ngn3 low EP
21,3.5693967,0.03259685,Pre-endocrine
22,4.4251614,3.1630082,Beta
23,6.319591,-1.5163502,Pre-endocrine
24,6.654441,1.6738739,Alpha
25,7.159107,1.6885645,Alpha
26,3.1209917,4.762562,Beta
27,3.0020232,4.7021656,Beta
28,-10.667444,-0.32679078,Ngn3 low EP
29,1.8618637,5.9189177,Beta
30,-11.509517,5.4464297,Ductal
31,-11.218836,-1.0843626,Ductal
32,8.002446,2.3274739,Alpha
33,5.79169,-1.0305629,Pre-endocrine
34,4.4625125,-4.057958,Pre-endocrine
35,-9.445645,2.2992373,Ductal
36,-9.852467,4.860494,Ductal
37,5.51126,0.93228024,Beta
38,4.6758804,0.84089965,Delta
39,6.6280966,1.5069003,Alpha
40,2.1794276,6.232158,Beta
41,-11.909684,4.7213106,Ductal
42,8.1335945,3.927814,Alpha
43,2.5234935,5.7503653,Beta
44,2.3779438,5.0204988,Beta
45,8.305771,4.1690755,Alpha
46,-4.846345,-3.1631942,Ngn3 high EP
47,-0.5807117,-4.0239515,Ngn3 high EP
48,1.496808,-3.991346,Ngn3 high EP
49,7.570063,3.3770149,Alpha
50,3.8384395,0.42988414,Pre-endocrine
51,6.629303,2.9662538,Alpha
52,7.5601845,4.17288,Alpha
53,-11.349223,5.678881,Ductal
54,-1.1936877,-3.7616882,Ngn3 high EP
55,5.3650627,-3.0849836,Pre-endocrine
56,7.546737,4.0811286,Alpha
57,-4.320397,-3.6954503,Ngn3 high EP
58,0.09243224,-3.8010116,Ngn3 high EP
59,1.975073,-4.02992,Ngn3 high EP
60,-8.5062685,3.9896288,Ngn3 low EP
61,2.476689,-4.1314106,Ngn3 high EP
62,-4.754584,-3.0777972,Ngn3 high EP
63,3.4371498,2.6033788,Epsilon
64,-4.2721395,-3.435313,Ngn3 high EP
65,1.9274687,5.7674994,Beta
66,6.1857824,-1.9117875,Pre-endocrine
67,-0.79702216,-4.941495,Ngn3 high EP
68,6.1596775,-2.6213596,Pre-endocrine
69,-0.3789697,-5.2596617,Ngn3 high EP
70,-3.7240732,-3.8476381,Ngn3 high EP
71,4.5485315,3.1380405,Beta
72,-3.5543253,-4.315498,Ngn3 high EP
73,2.663227,5.2265043,Beta
74,5.8947663,1.3489676,Beta
75,7.779183,3.4933803,Alpha
76,6.3117266,2.5173495,Alpha
77,-12.134493,2.6418145,Ductal
78,4.2139473,0.87867403,Pre-endocrine
79,7.919234,5.3213305,Alpha
80,-9.277945,5.4018846,Ductal
81,6.304165,4.044516,Alpha
82,-10.6074095,0.07127509,Ductal
83,6.0370474,-1.7489895,Pre-endocrine
84,4.579713,1.0014968,Beta
85,-7.7785473,-1.1465534,Ngn3 low EP
86,8.025878,4.690022,Alpha
87,2.3430178,6.5196714,Beta
88,-5.4848437,-2.8574429,Ngn3 high EP
89,-11.013531,-0.6728261,Ductal
90,3.8064725,4.323861,Beta
91,-5.035715,-3.5273523,Ngn3 high EP
92,-11.570084,4.6332374,Ductal
93,-10.594983,6.1573443,Ductal
94,3.1369705,-3.7435684,Pre-endocrine
95,8.165062,5.123174,Alpha
96,-7.95078,-1.7666882,Ngn3 low EP
97,-0.44779184,-4.057664,Ngn3 high EP
