setting,rank,target_gene,attention_weight,evidence_category,evidence_source,evidence_context,cistrome_sample_id,geo_accession,cistrome_regulatory_potential_rank,cistrome_regulatory_potential_score,chip_atlas_tss_window_kb,chip_atlas_beta_tc6_average,chip_atlas_beta_tc6_positive_replicates,chip_atlas_beta_tc6_maximum,chip_atlas_significant_by_fig4g_calibration,paper_citation,paper_url,evidence_note
reference_umap2,1,SPHKAP,0.3775377521660122,Literature support,Published GRAVITY Figure 4g literature label,Mouse pancreatic beta-cell/developmental context,,,,,5,,,,False,"Sphkap beta-cell secretion literature, GRAVITY supplementary material",,Color reproduced from the published Figure 4g PDX1 network.
reference_umap2,2,PCLO,0.3600771443291162,Literature support,Published GRAVITY Figure 4g literature label,Mouse pancreatic beta-cell/developmental context,,,,,5,,,,False,"Pancreatic clock/glucose-homeostasis literature, GRAVITY supplementary material",,Color reproduced from the published Figure 4g PDX1 network.
reference_umap2,3,SNTG1,0.326232452884745,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,592.0,1.175,5,24.214286,2.0,210.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,4,ST18,0.2604587007496764,Literature support,Published GRAVITY Figure 4g literature label,Mouse pancreatic beta-cell/developmental context,,,,,5,,,,False,"Pancreatic beta-cell MYT/ST18 literature, GRAVITY supplementary material",,Color reproduced from the published Figure 4g PDX1 network.
reference_umap2,5,PRDM16,0.2545018732648614,No curated support,,,,,,,5,,,,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,6,RFX6,0.2143735176365186,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,21.0,2.129,5,309.857143,9.0,1240.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,7,PNLIPRP1,0.2059068449358448,Literature support,Published GRAVITY Figure 4g literature label,Mouse pancreatic beta-cell/developmental context,,,,,5,,,,False,Published GRAVITY Figure 4g literature annotation,,Color reproduced from the published Figure 4g PDX1 network.
reference_umap2,8,CHST9,0.2000429274265334,No curated support,,,,,,,5,,,,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,9,MTSS1,0.191846379673017,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,43.0,1.963,5,,,,False,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,10,EFCAB1,0.1776710280206199,No curated support,,,,,,,5,7.428571,1.0,104.0,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,11,NKX2-2,0.1768458664618974,Literature support,Published GRAVITY Figure 4g literature label,Mouse pancreatic beta-cell/developmental context,,,,,5,,,,False,"Nkx2.2 pancreatic-islet literature, GRAVITY supplementary material",,Color reproduced from the published Figure 4g PDX1 network.
reference_umap2,12,TTYH1,0.173886862906506,No curated support,,,,,,,5,,,,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,13,AFF2,0.170449012881003,No curated support,,,,,,,5,,,,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,14,PAPSS2,0.1683064453089499,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,395.0,1.316,5,76.857143,7.0,308.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
